===== ESP32 BENCHMARK RESULTS =====
WiFi RSSI: 0 dBm
  Iteration 758: 143 ms
  Iteration 759: 144 ms
  Iteration 760: 143 ms
  Iteration 761: 144 ms
  Iteration 762: 143 ms
  Iteration 763: 144 ms
  Iteration 764: 143 ms
  Iteration 765: 143 ms
  Iteration 766: 144 ms
  Iteration 767: 144 ms
  Iteration 768: 144 ms
  Iteration 769: 144 ms
  Iteration 770: 144 ms
  Iteration 771: 144 ms
  Iteration 772: 144 ms
  Iteration 773: 144 ms
  Iteration 774: 144 ms
  Iteration 775: 143 ms
  Iteration 776: 144 ms
  Iteration 777: 144 ms
  Iteration 778: 143 ms
  Iteration 779: 144 ms
  Iteration 780: 144 ms
  Iteration 781: 143 ms
  Iteration 782: 143 ms
  Iteration 783: 143 ms
  Iteration 784: 144 ms
  Iteration 785: 144 ms
  Iteration 786: 143 ms
  Iteration 787: 143 ms
  Iteration 788: 144 ms
  Iteration 789: 143 ms
  Iteration 790: 143 ms
  Iteration 791: 143 ms
  Iteration 792: 144 ms
  Iteration 793: 143 ms
  Iteration 794: 144 ms
  Iteration 795: 144 ms
  Iteration 796: 144 ms
  Iteration 797: 143 ms
  Iteration 798: 144 ms
  Iteration 799: 144 ms
  Iteration 800: 144 ms
  Iteration 801: 143 ms
  Iteration 802: 144 ms
  Iteration 803: 144 ms
  Iteration 804: 144 ms
  Iteration 805: 144 ms
  Iteration 806: 144 ms
  Iteration 807: 143 ms
  Iteration 808: 143 ms
  Iteration 809: 143 ms
  Iteration 810: 143 ms
  Iteration 811: 144 ms
  Iteration 812: 143 ms
  Iteration 813: 144 ms
  Iteration 814: 144 ms
  Iteration 815: 144 ms
  Iteration 816: 143 ms
  Iteration 817: 143 ms
  Iteration 818: 144 ms
  Iteration 819: 144 ms
  Iteration 820: 143 ms
  Iteration 821: 144 ms
  Iteration 822: 143 ms
  Iteration 823: 144 ms
  Iteration 824: 143 ms
  Iteration 825: 144 ms
  Iteration 826: 144 ms
  Iteration 827: 144 ms
  Iteration 828: 143 ms
  Iteration 829: 143 ms
  Iteration 830: 144 ms
  Iteration 831: 144 ms
  Iteration 832: 143 ms
  Iteration 833: 144 ms
  Iteration 834: 143 ms
  Iteration 835: 143 ms
  Iteration 836: 143 ms
  Iteration 837: 144 ms
  Iteration 838: 144 ms
  Iteration 839: 143 ms
  Iteration 840: 144 ms
  Iteration 841: 143 ms
  Iteration 842: 144 ms
  Iteration 843: 143 ms
  Iteration 844: 144 ms
  Iteration 845: 143 ms
  Iteration 846: 143 ms
  Iteration 847: 144 ms
  Iteration 848: 143 ms
  Iteration 849: 143 ms
  Iteration 850: 144 ms
  Iteration 851: 144 ms
  Iteration 852: 143 ms
  Iteration 853: 144 ms
  Iteration 854: 144 ms
  Iteration 855: 144 ms
  Iteration 856: 144 ms
  Iteration 857: 144 ms
